site,elevation,dbh50,cecropias,openness,canopy.height,cover.500m,cover.1k,cover.2k,area,dist.bilsa
1,400.8333333,2.166666667,0,14.04,38.33333333,0.732937685,0.483878968,0.596049935,46.42,2863.4
2,359.1666667,2.666666667,0,10.70333334,35,0.698113208,0.645522388,0.623596551,36.31,2360.19
4,386.5,1.5,0,9.75,37.5,0.74015748,0.631956468,0.62929588,21.31,5148.6
8,244,1,0,9.36,32.5,0.656063618,0.60878194,0.647442265,20.51,5822.71
10,375.5,1,0,8.58,24.6,0.673956262,0.647408877,0.635495473,11.65,6883.94
12,558,0.833333333,0.833333333,10.61666666,36.66666667,0.608738828,0.609580541,0.566911034,21.4,654.52
13,552.8333333,1,0.333333333,8.19,40.83333333,0.499503476,0.487586892,0.510986965,6.75,1089.92
23,360.5,3,0,6.37,45,0.851888668,0.710487078,0.623138034,24.85,7118.42
24,258,1.833333333,0,9.62,37.5,0.853057199,0.744105237,0.61931677,23.37,9571.53
34,587.1666667,1.666666667,0.5,8.926666666,41.5,0.701492537,0.642839414,0.672538924,29.7,176.63
39,626.6666667,0.833333333,2.5,10.87666666,29.66666667,0.358695652,0.548611111,0.710452767,27.76,11.37
41,585,1,0,4.246666666,33.66666667,0.499007937,0.455787382,0.532314193,2.67,1025.19
56,230.8333333,0.666666667,0,15.94666666,30,0.889990089,0.729957806,0.628346065,14.15,9854.09
58,228,1.333333333,0,8.406666666,40.83333333,0.422244094,0.513520218,0.563610386,4.23,10773.41
63,170.5,0.666666667,0.5,12.22,31.66666667,0.516932271,0.370599901,0.392250465,8.31,13968.7
75,408.5,1,0,5.72,40,0.763419483,0.652000994,0.663002981,33.6,7040.63
77,171,0.5,0.333333333,9.793333334,30,0.523476523,0.393149665,0.354732663,15.55,16725.76
78,168.3333333,0.166666667,0.833333333,6.326666666,25.83333333,0.521435693,0.407950311,0.338998821,9.92,16902.55
79,193,1,0.166666667,6.933333334,26.33333333,0.524,0.365920398,0.355938507,13.57,15823.08
81,149.3333333,0.833333333,0.333333333,7.106666666,32.5,0.399405352,0.388833747,0.362738398,4.55,16083.5
82,389.8333333,1.666666667,0,12.69666666,37.5,0.450396825,0.466154228,0.478403872,9.22,2596.38
86,514.1666667,2.333333333,0.333333333,9.75,35.33333333,0.742771685,0.640694789,0.55447326,33.62,980.92
87,541.5,1.5,0.5,8.233333334,40,0.487025948,0.590106885,0.604518371,3.11,674
89,190.6666667,0.833333333,0.333333333,7.644,33.33333333,0.365537849,0.351626521,0.351711734,11.58,16086.71
90,355.8333333,1.666666667,0,16.72666666,38.66666667,0.869261477,0.729373757,0.630632864,35.72,3542.71
91,315.1666667,2.833333333,0,15.64333334,43.33333333,0.746268657,0.631173989,0.624674035,16.44,3720.87
92,304.1666667,2.333333333,0.333333333,9.923333334,38.33333333,0.718562874,0.661775678,0.697860465,15.31,5383.51
93,311.1666667,0.666666667,1,14.95,21.66666667,0.4750499,0.497140015,0.66437252,4.13,5143.32
94,453.8333333,2,0.166666667,8.103333334,35.83333333,0.52584493,0.485976669,0.548455143,9.65,4001.32
95,365.3333333,1,0,10.14,30,0.39940239,0.418159204,0.556093323,9.43,3622.02
96,288.8333333,1.333333333,0.166666667,12.43666666,35,0.797619048,0.778743481,0.794833582,2.62,226.11
97,294.3333333,1.333333333,0.5,14.77666666,35,0.793240557,0.830933466,0.831999007,8.36,172.74
98,337,0.833333333,0.333333333,28.64333334,30.83333333,0.838966203,0.73869846,0.778570985,10.6,482.72
99,261.6666667,1.5,0,13.82333334,36,0.748508946,0.714356682,0.779626296,4.46,1551
